iter	Passed	Remaining
0	10	1032
1	21	1047
2	32	1047
3	44	1062
4	56	1065
5	68	1066
6	78	1044
7	88	1020
8	100	1015
9	110	994
10	122	994
11	132	975
12	143	960
13	152	934
14	160	911
15	172	904
16	181	886
17	191	873
18	200	855
19	209	839
20	218	821
21	227	806
22	236	792
23	245	778
24	258	774
25	267	761
26	279	755
27	288	741
28	297	727
29	307	716
30	317	705
31	326	693
32	336	684
33	348	675
34	357	663
35	368	655
36	379	646
37	389	636
38	399	624
39	410	615
40	419	604
41	429	592
42	439	582
43	449	571
44	458	560
45	469	551
46	479	541
47	488	529
48	498	518
49	507	507
50	517	497
51	528	488
52	541	479
53	551	469
54	562	459
55	573	450
56	585	441
57	595	431
58	605	420
59	616	411
60	626	400
61	637	390
62	650	381
63	659	371
64	672	361
65	681	351
66	690	340
67	701	330
68	710	319
69	719	308
70	728	297
71	738	287
72	748	276
73	757	266
74	767	255
75	775	244
76	784	234
77	794	224
78	804	213
79	813	203
80	823	193
81	831	182
82	840	172
83	849	161
84	857	151
85	867	141
86	876	130
87	885	120
88	894	110
89	903	100
90	911	90
91	920	80
92	929	69
93	938	59
94	948	49
95	958	39
96	968	29
97	977	19
98	987	9
99	997	0
